id,LIVER_dice,LIVER_haus95
lits_2,0.9626706854989295,0.0
lits_102,0.970383071575699,0.0
lits_34,0.7093256598221377,41.0
lits_18,0.9702307247018842,0.0
lits_86,0.9715935510165479,0.0
lits_115,0.9557367579035817,0.7559967041015625
lits_64,0.9737290620050052,0.0
lits_42,0.9499184727954443,1.0
lits_20,0.9545684215233102,0.802734375
lits_19,0.966195513189118,0.0
lits_83,0.9593842593875338,0.0
lits_21,0.9665035007393652,0.0
lits_49,0.9372144205585341,0.955078125
lits_113,0.9439079097563945,1.746378779411316
lits_73,0.9441521474783227,2.853515625
lits_80,0.968153528231113,0.0
lits_46,0.07023326653306612,161.56097259521482
lits_112,0.968226735620841,0.0
lits_123,0.9691530677376254,0.0
lits_69,0.960783464653406,0.75390625
lits_30,0.9527807007338551,1.0
lits_125,0.9743069266618596,0.0
lits_47,0.957893724144566,1.0
lits_25,0.942874205707457,1.53515625
lits_109,0.9162076591062881,2.8951194286346436
lits_33,0.8839716569145912,9.0
lits_6,0.9674415552578601,0.873046875
lits_120,0.952390208371379,0.0
lits_52,0.9389958989946348,0.8359375
lits_23,0.8387425173546791,68.25680541992188
lits_29,0.9598103229804543,0.0
lits_130,0.9013079926435832,5.974316120147705
lits_82,0.9555725785301648,0.625
lits_104,0.910546906258177,8.841242790222168
lits_1,0.9588545997429889,0.67578125
lits_53,0.9586252201226615,0.850006103515625
lits_31,0.932059818127661,1.0
lits_103,0.939911198940336,2.56640625
lits_128,0.9615509324031456,0.0
lits_100,0.9725534002383315,0.0
lits_89,0.9670519589404871,0.0
lits_27,0.9572086168288888,0.73828125
lits_16,0.9641912427316865,0.0
lits_84,0.9723428763053312,0.0
lits_91,0.9753266444802541,0.0
lits_57,0.9535086899483206,1.25
lits_126,0.9648158519687329,0.0
lits_70,0.9352419613744938,1.1953125
lits_58,0.9390937933458441,2.05078125
lits_65,0.9397281896472099,1.25
lits_3,0.9694254711036324,0.0
lits_106,0.9608836461475772,0.0
lits_90,0.9445486352771859,1.600006103515625
lits_119,0.9603113906470241,0.84375
lits_56,0.9177649805673799,10.553133010864258
lits_105,0.9680998531406599,0.0
lits_63,0.9700719643014906,0.0
lits_45,0.504653630696489,161.21104431152344
lits_9,0.9702228570715102,0.0
lits_97,0.900126574721703,85.59179000854489
lits_5,0.9643126874372154,0.0
lits_59,0.9698441820889173,0.0
lits_13,0.9490078161677599,0.84765625
lits_48,0.7428484574285112,145.10464630126953
lits_117,0.9645489228031607,0.0
lits_4,0.7967890068433664,88.67347717285156
lits_54,0.9633562516162087,0.828125
lits_50,0.9301352305006408,2.5
lits_110,0.964051586223643,0.0
lits_51,0.9443740372927167,0.90234375
lits_79,0.9463273020849616,0.796875
lits_129,0.9714129437389346,0.0
lits_17,0.9604089669434613,0.0
lits_76,0.9604090959212502,0.0
lits_0,0.9641168773898037,0.0
lits_107,0.9171873265405703,67.56093788146973
lits_88,0.9486487134740526,0.79998779296875
lits_11,0.938202922654974,2.3482248783111572
lits_78,0.913317108760664,20.255714416503906
lits_24,0.955331771721618,1.33984375
lits_94,0.865235979274343,13.883063316345215
lits_114,0.9722060852980966,0.0
lits_72,0.9537751096744401,0.0
lits_61,0.9523340817802195,0.7578125
lits_32,0.9624195281793727,1.0
lits_10,0.9701134843479013,0.0
lits_7,0.9620924242560714,0.748046875
lits_116,0.9707570786810183,0.0
lits_127,0.9725806764794459,0.0
lits_95,0.9183774617436737,2.951995849609375
lits_68,0.928576118124207,2.49993896484375
lits_39,0.9029040125552084,46.097721099853516
lits_35,0.6975474104402792,30.951574325561523
lits_81,0.961642388259549,0.0
lits_98,0.958534264397483,0.699981689453125
lits_87,0.9641810228926209,0.0
lits_99,0.9677674321046819,0.0
lits_60,0.9560485254217908,1.59765625
lits_77,0.9274530432511849,4.686004638671875
lits_124,0.9686200005685023,0.0
lits_66,0.9680526849938145,0.0
lits_44,0.9558863528117832,0.0
lits_15,0.9292315985886578,1.30859375
lits_22,0.9490600515657464,1.953125
lits_96,0.9671215132654186,0.0
lits_67,0.9639399975815741,0.0
lits_74,0.9439801531454585,0.826171875
lits_12,0.9589332274955183,0.654296875
lits_93,0.9322729471823132,1.600006103515625
lits_118,0.9648543766886915,0.0
lits_75,0.9674569261226649,0.0
lits_101,0.9659268238501263,0.0
lits_8,0.952563291034493,1.0
lits_43,0.8028460523397555,22.0
lits_38,0.960256362901967,0.0
lits_62,0.9606487300660325,0.0
lits_40,0.9605057790817411,0.0
lits_28,0.9481861213391182,1.4142135381698608
lits_92,0.9570180895977439,0.6710014343261719
lits_108,0.9426618834005936,0.72900390625
lits_41,0.957967909980739,0.0
lits_111,0.9662834056554888,0.0
lits_122,0.9486535620131151,0.689453125
lits_36,0.9481177559430078,1.0
lits_14,0.9637975348186091,0.0
lits_71,0.9473500708787798,1.11328125
lits_121,0.9717058136721749,0.0
lits_55,0.8756747755461122,27.160795211791992
lits_37,0.9590817706425074,0.0
lits_26,0.9639431467367915,0.0
lits_85,0.7932433906521368,109.11190032958984
Mean,0.9322755763981961,9.104618083793698
Std,0.09693494100738187,28.395494783546063
25th Percentile,0.939819694293773,0.0
50th Percentile,0.957967909980739,0.72900390625
75th Percentile,0.9653906002694088,1.56640625
